Date,Temperature(¡æ£©,,,
3/27/2018,3.45975,,,
3/28/2018,4.70425,,,
3/29/2018,2.767,,,
3/30/2018,2.1235,,,
3/31/2018,3.29625,,,
4/1/2018,-0.70475,,,
4/2/2018,1.0555,,,
4/3/2018,2.29175,,,
4/4/2018,0.44475,,,
4/5/2018,-2.423,,,
4/6/2018,-0.17875,,,
4/7/2018,-2.9905,,,
4/8/2018,-3.03475,,,
4/9/2018,-1.35775,,,
4/10/2018,0.59725,,,
4/11/2018,1.48575,,,
4/12/2018,3.79125,,,
4/13/2018,2.13975,,,
4/14/2018,-1.127,,,
4/15/2018,-3.38825,,,
4/16/2018,2.534,,,
4/17/2018,-0.8815,,,
4/18/2018,0.81625,,,
4/19/2018,-0.20925,,,
4/20/2018,0.51975,,,
4/21/2018,4.72025,,,
4/22/2018,7.8595,,,
4/23/2018,10.3705,,,
4/24/2018,11.98825,,,
4/25/2018,8.15875,,,
4/26/2018,7.00825,,,
4/27/2018,8.72,,,
4/28/2018,4.50575,,,
4/29/2018,3.9355,,,
4/30/2018,9.09575,,,
5/1/2018,16.01175,,,
5/2/2018,20.7595,,,
5/3/2018,17.48325,,,
5/4/2018,12.33875,,,
5/5/2018,15.44775,,,
5/6/2018,14.03125,,,
5/7/2018,11.69375,,,
5/8/2018,13.46625,,,
5/9/2018,16.18725,,,
5/10/2018,16.0095,,,
5/11/2018,7.154,,,
5/12/2018,9.21775,,,
5/13/2018,11.641,,,
5/14/2018,16.09875,,,
5/15/2018,16.14275,,,
5/16/2018,13.87125,,,
5/17/2018,16.29825,,,
5/18/2018,11.7815,,,
5/19/2018,12.57025,,,
5/20/2018,14.8565,,,
5/21/2018,13.487,,,
5/22/2018,14.347,,,
5/23/2018,16.08475,,,
5/24/2018,18.95925,,,
5/25/2018,21.0675,,,
5/26/2018,21.681,,,
5/27/2018,19.32275,,,
5/28/2018,22.44625,,,
5/29/2018,21.11975,,,
5/30/2018,20.911,,,
5/31/2018,23.07175,,,
6/1/2018,21.12425,,,
6/2/2018,16.08425,,,
6/3/2018,17.06925,,,
6/4/2018,14.66825,,,
6/5/2018,12.38275,,,
6/6/2018,12.012,,,
6/7/2018,15.92,,,
6/8/2018,16.88025,,,
6/9/2018,16.416,,,
6/10/2018,16.73775,,,
6/11/2018,16.5265,,,
6/12/2018,18.49225,,,
6/13/2018,20.059,,,
6/14/2018,17.4135,,,
6/15/2018,18.22975,,,
6/16/2018,20.619,,,
6/17/2018,23.8735,,,
6/18/2018,24.48975,,,
6/19/2018,18.85475,,,
6/20/2018,19.0575,,,
6/21/2018,17.485,,,
6/22/2018,16.975,,,
6/23/2018,18.2,,,
6/24/2018,16.86525,,,
6/25/2018,15.975,,,
6/26/2018,16.6845,,,
6/27/2018,18.90275,,,
6/28/2018,21.9515,,,
6/29/2018,24.1455,,,
6/30/2018,26.7085,,,
7/1/2018,27.1305,,,
7/2/2018,25.84675,,,
7/3/2018,23.679,,,
7/4/2018,24.8945,,,
7/5/2018,26.42675,,,
7/6/2018,18.12275,,,
7/7/2018,19.1305,,,
7/8/2018,21.188,,,
7/9/2018,22.4705,,,
7/10/2018,22.66625,,,
7/11/2018,20.377,,,
7/12/2018,21.817,,,
7/13/2018,24.46075,,,
7/14/2018,22.975,,,
7/15/2018,24.27,,,
7/16/2018,24.48125,,,
7/17/2018,21.1065,,,
7/18/2018,18.743,,,
7/19/2018,19.38775,,,
7/20/2018,23.53025,,,
7/21/2018,22.97,,,
7/22/2018,18.529,,,
7/23/2018,23.05,,,
7/24/2018,23.58625,,,
7/25/2018,22.46125,,,
7/26/2018,21.73075,,,
7/27/2018,20.148,,,
7/28/2018,18.3365,,,
7/29/2018,19.00675,,,
7/30/2018,20.575,,,
7/31/2018,21.5745,,,
8/1/2018,22.0475,,,
8/2/2018,21.775,,,
8/3/2018,22.775,,,
8/4/2018,23.525,,,
